budget,id_pelicula,original_language,overview,popularity,release_date,revenue,runtime,status,tagline,title,vote_average,vote_count,genres_ok,spoken_languages_ok,production_countries,belong_to_collection,production_companies_ok,release_year,return
150000000.0,76341,en,"An apocalyptic story set in the furthest reaches of our planet, in a stark desert landscape where humanity is broken, and most everyone is crazed fighting for the necessities of life. Within this world exist two rebels on the run who just might be able to restore order. There's Max, a man of action and a man of few words, who seeks peace of mind following the loss of his wife and child in the aftermath of the chaos. And Furiosa, a woman of action and a woman who believes her path to survival may be achieved if she can make it across the desert back to her childhood homeland.",29.36178,2015-05-13,378858340.0,120.0,Released,What a Lovely Day.,Mad Max: Fury Road,7.3,9629,"Action,Adventure,Science Fiction,Thriller",English,"Australia,United States of America",Mad Max Collection,"Village Roadshow Pictures,Kennedy Miller Productions,Warner Bros.",2015,2.53
250000000.0,49026,en,"Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy.",20.58258,2012-07-16,1084939099.0,165.0,Released,The Legend Ends,The Dark Knight Rises,7.6,9263,"Action,Crime,Drama,Thriller",English,United States of America,The Dark Knight Collection,"Legendary Pictures,Warner Bros.,DC Entertainment,Syncopy",2012,4.34
63000000.0,603,en,"Set in the 22nd century, The Matrix tells the story of a computer hacker who joins a group of underground insurgents fighting the vast and powerful computers who now rule the earth.",33.366332,1999-03-30,463517383.0,136.0,Released,Welcome to the Real World.,The Matrix,7.9,9079,"Action,Science Fiction",English,"Australia,United States of America",The Matrix Collection,"Village Roadshow Pictures,Groucho II Film Partnership,Silver Pictures,Warner Bros.",1999,7.36
140000000.0,1726,en,"After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.",22.073099,2008-04-30,585174222.0,126.0,Released,Heroes aren't born. They're built.,Iron Man,7.4,8951,"Action,Science Fiction,Adventure","English,فارسی,اردو,العربية",United States of America,Iron Man Collection,"Paramount Pictures,Marvel Studios",2008,4.18
200000000.0,68721,en,"When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.",23.721243,2013-04-18,1215439994.0,130.0,Released,Unleash the power behind the armor.,Iron Man 3,6.8,8951,"Action,Adventure,Science Fiction",English,"China,United States of America",Iron Man Collection,Marvel Studios,2013,6.08
93000000.0,120,en,"Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom, the only place where it can be destroyed.",32.070725,2001-12-18,871368364.0,178.0,Released,One ring to rule them all,The Lord of the Rings: The Fellowship of the Ring,8.0,8892,"Adventure,Fantasy,Action",English,"New Zealand,United States of America",The Lord of the Rings Collection,"WingNut Films,New Line Cinema,The Saul Zaentz Company",2001,9.37
150000000.0,135397,en,"Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond.",32.790475,2015-06-09,1513528810.0,124.0,Released,The park is open.,Jurassic World,6.5,8842,"Action,Adventure,Science Fiction,Thriller",English,United States of America,Jurassic Park Collection,"Universal Studios,Amblin Entertainment,Legendary Pictures,Fuji Television Network,Dentsu",2015,10.09
8000000.0,680,en,"A burger-loving hit man, his philosophical partner, a drug-addled gangster's moll and a washed-up boxer converge in this sprawling, comedic crime caper. Their adventures unfurl in three stories that ingeniously trip back and forth in time.",140.950236,1994-09-10,213928762.0,154.0,Released,Just because you are a character doesn't mean you have character.,Pulp Fiction,8.3,8670,"Thriller,Crime","English,Español,Français",United States of America,,"Miramax Films,A Band Apart,Jersey Films",1994,26.74
250000000.0,49051,en,"Bilbo Baggins, a hobbit enjoying his quiet life, is swept into an epic quest by Gandalf the Grey and thirteen dwarves who seek to reclaim their mountain home from Smaug, the dragon.",23.253089,2012-11-26,1021103568.0,169.0,Released,From the smallest beginnings come the greatest legends.,The Hobbit: An Unexpected Journey,7.0,8427,"Adventure,Fantasy,Action",English,"New Zealand,United States of America",The Hobbit Collection,"WingNut Films,New Line Cinema,Warner Bros. Pictures,Metro-Goldwyn-Mayer (MGM)",2012,4.08
25000000.0,278,en,"Framed in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.",51.645403,1994-09-23,28341469.0,142.0,Released,Fear can hold you prisoner. Hope can set you free.,The Shawshank Redemption,8.5,8358,"Drama,Crime",English,United States of America,,"Castle Rock Entertainment,Warner Bros.",1994,1.13
94000000.0,122,en,"Aragorn is revealed as the heir to the ancient kings as he, Gandalf and the other members of the broken fellowship struggle to save Gondor from Sauron's forces. Meanwhile, Frodo and Sam bring the ring closer to the heart of Mordor, the dark lord's realm.",29.324358,2003-12-01,1118888979.0,201.0,Released,The eye of the enemy is moving.,The Lord of the Rings: The Return of the King,8.1,8226,"Adventure,Fantasy,Action",English,"New Zealand,United States of America",The Lord of the Rings Collection,"WingNut Films,New Line Cinema",2003,11.9
55000000.0,13,en,"A man with a low IQ has accomplished great things in his life and been present during significant historic events - in each case, far exceeding what anyone imagined he could do. Yet, despite all the things he has attained, his one true love eludes him. 'Forrest Gump' is the story of a man who rose above his challenges, and who proved that determination, courage, and love are more important than ability.",48.307194,1994-07-06,677945399.0,142.0,Released,"The world will never be the same, once you've seen it through the eyes of Forrest Gump.",Forrest Gump,8.2,8147,"Comedy,Drama,Romance",English,United States of America,,Paramount Pictures,1994,12.33
245000000.0,140607,en,"Thirty years after defeating the Galactic Empire, Han Solo and his allies face a new threat from the evil Kylo Ren and his army of Stormtroopers.",31.626013,2015-12-15,2068223624.0,136.0,Released,Every generation has a story.,Star Wars: The Force Awakens,7.5,7993,"Action,Adventure,Science Fiction,Fantasy",English,United States of America,Star Wars Collection,"Lucasfilm,Truenorth Productions,Bad Robot",2015,8.44
200000000.0,597,en,"84 years later, a 101-year-old woman named Rose DeWitt Bukater tells the story to her granddaughter Lizzy Calvert, Brock Lovett, Lewis Bodine, Bobby Buell and Anatoly Mikailavich on the Keldysh about her life set in April 10th 1912, on a ship called Titanic when young Rose boards the departing ship with the upper-class passengers and her mother, Ruth DeWitt Bukater, and her fiancé, Caledon Hockley. Meanwhile, a drifter and artist named Jack Dawson and his best friend Fabrizio De Rossi win third-class tickets to the ship in a game. And she explains the whole story from departure until the death of Titanic on its first and last voyage April 15th, 1912 at 2:20 in the morning.",26.88907,1997-11-18,1845034188.0,194.0,Released,Nothing on Earth could come between them.,Titanic,7.5,7770,"Drama,Romance,Thriller","English,Français,Deutsch,svenska,Italiano,Pусский",United States of America,,"Paramount Pictures,Twentieth Century Fox Film Corporation,Lightstorm Entertainment",1997,9.23
200000000.0,37724,en,"When Bond's latest assignment goes gravely wrong and agents around the world are exposed, MI6 is attacked forcing M to relocate the agency. These events cause her authority and position to be challenged by Gareth Mallory, the new Chairman of the Intelligence and Security Committee. With MI6 now compromised from both inside and out, M is left with one ally she can trust: Bond. 007 takes to the shadows - aided only by field agent, Eve - following a trail to the mysterious Silva, whose lethal and hidden motives have yet to reveal themselves.",20.309585,2012-10-25,1108561013.0,143.0,Released,Think on your sins.,Skyfall,6.9,7718,"Action,Adventure,Thriller",English,"United Kingdom,United States of America",James Bond Collection,Columbia Pictures,2012,5.54
175000000.0,297761,en,"From DC Comics comes the Suicide Squad, an antihero team of incarcerated supervillains who act as deniable assets for the United States government, undertaking high-risk black ops missions in exchange for commuted prison sentences.",42.965027,2016-08-02,745600054.0,123.0,Released,Worst Heroes Ever,Suicide Squad,5.9,7717,"Action,Adventure,Crime,Fantasy,Science Fiction",English,United States of America,,"DC Comics,Dune Entertainment,Atlas Entertainment,Warner Bros.,DC Entertainment",2016,4.26
79000000.0,121,en,"Frodo and Sam are trekking to Mordor to destroy the One Ring of Power while Gimli, Legolas and Aragorn search for the orc-captured Merry and Pippin. All along, nefarious wizard Saruman awaits the Fellowship members at the Orthanc Tower in Isengard.",29.423537,2002-12-18,926287400.0,179.0,Released,A New Power Is Rising.,The Lord of the Rings: The Two Towers,8.0,7641,"Adventure,Fantasy,Action",English,"New Zealand,United States of America",The Lord of the Rings Collection,"WingNut Films,New Line Cinema,The Saul Zaentz Company",2002,11.73
150000000.0,272,en,"Driven by tragedy, billionaire Bruce Wayne dedicates his life to uncovering and defeating the corruption that plagues his home, Gotham City.  Unable to work within the system, he instead creates a new identity, a symbol of fear for the criminal underworld - The Batman.",28.505341,2005-06-10,374218673.0,140.0,Released,Evil fears the knight.,Batman Begins,7.5,7511,"Action,Crime,Drama","English,اردو,普通话","United Kingdom,United States of America",The Dark Knight Collection,"DC Comics,Legendary Pictures,Warner Bros.,DC Entertainment,Syncopy,Patalex III Productions Limited",2005,2.49
250000000.0,271110,en,"Following the events of Age of Ultron, the collective governments of the world pass an act designed to regulate all superhuman activity. This polarizes opinion amongst the Avengers, causing two factions to side with Iron Man or Captain America, which causes an epic battle between former allies.",145.882135,2016-04-27,1153304495.0,147.0,Released,Divided We Fall,Captain America: Civil War,7.1,7462,"Adventure,Action,Science Fiction","Română,English,Deutsch,Pусский",United States of America,Captain America Collection,"Studio Babelsberg,Marvel Studios,Walt Disney Studios Motion Pictures,Vita-Ray Dutch Productions (III),Deluxe Digital Studios",2016,4.61
108000000.0,286217,en,"During a manned mission to Mars, Astronaut Mark Watney is presumed dead after a fierce storm and left behind by his crew. But Watney has survived and finds himself stranded and alone on the hostile planet. With only meager supplies, he must draw upon his ingenuity, wit and spirit to subsist and find a way to signal to Earth that he is alive.",25.62993,2015-09-30,630161890.0,141.0,Released,Bring Him Home,The Martian,7.6,7442,"Drama,Adventure,Science Fiction","English,普通话",United States of America,,"Twentieth Century Fox Film Corporation,Scott Free Productions,Mid Atlantic Films,International Traders,TSG Entertainment,Genre Films",2015,5.83
140000000.0,22,en,"Jack Sparrow, a freewheeling 17th-century pirate who roams the Caribbean Sea, butts heads with a rival pirate bent on pillaging the village of Port Royal. When the governor's daughter is kidnapped, Sparrow decides to help the girl's love save her. But their seafaring mission is hardly simple.",47.326665,2003-07-09,655011224.0,143.0,Released,Prepare to be blown out of the water.,Pirates of the Caribbean: The Curse of the Black Pearl,7.5,7191,"Adventure,Fantasy,Action",English,United States of America,Pirates of the Caribbean Collection,"Walt Disney Pictures,Jerry Bruckheimer Films",2003,4.68
250000000.0,209112,en,"Fearing the actions of a god-like Super Hero left unchecked, Gotham City’s own formidable, forceful vigilante takes on Metropolis’s most revered, modern-day savior, while the world wrestles with what sort of hero it really needs. And with Batman and Superman at war with one another, a new threat quickly arises, putting mankind in greater danger than it’s ever known before.",31.435879,2016-03-23,873260194.0,151.0,Released,Justice or revenge,Batman v Superman: Dawn of Justice,5.7,7189,"Action,Adventure,Fantasy",English,United States of America,Man of Steel Collection,"DC Comics,Atlas Entertainment,Warner Bros.,DC Entertainment,Cruel & Unusual Films,RatPac-Dune Entertainment",2016,3.49
125000000.0,671,en,"Harry Potter has lived under the stairs at his aunt and uncle's house his whole life. But on his 11th birthday, he learns he's a powerful wizard -- with a place waiting for him at the Hogwarts School of Witchcraft and Wizardry. As he learns to harness his newfound powers with the help of the school's kindly headmaster, Harry uncovers the truth about his parents' deaths -- and about the villain who's to blame.",38.187238,2001-11-16,976475550.0,152.0,Released,Let the Magic Begin.,Harry Potter and the Philosopher's Stone,7.5,7188,"Adventure,Fantasy,Family",English,"United Kingdom,United States of America",Harry Potter Collection,"1492 Pictures,Warner Bros.,Heyday Films",2001,7.81
140000000.0,1771,en,"Predominantly set during World War II, Steve Rogers is a sickly man from Brooklyn who's transformed into super-soldier Captain America to aid in the war effort. Rogers must stop the Red Skull – Adolf Hitler's ruthless head of weaponry, and the leader of an organization that intends to use a mysterious device of untold powers for world domination.",19.323582,2011-07-22,370569774.0,124.0,Released,When patriots become heroes,Captain America: The First Avenger,6.6,7174,"Action,Adventure,Science Fiction","Français,Norsk,English",United States of America,Captain America Collection,"Paramount Pictures,Marvel Studios",2011,2.65
175000000.0,14160,en,"Carl Fredricksen spent his entire life dreaming of exploring the globe and experiencing life to its fullest. But at age 78, life seems to have passed him by, until a twist of fate (and a persistent 8-year old Wilderness Explorer named Russell) gives him a new lease on life.",19.330884,2009-05-13,735099082.0,96.0,Released,,Up,7.8,7048,"Animation,Comedy,Family,Adventure",English,United States of America,,Pixar Animation Studios,2009,4.2
200000000.0,10138,en,"With the world now aware of his dual life as the armored superhero Iron Man, billionaire inventor Tony Stark faces pressure from the government, the press and the public to share his technology with the military. Unwilling to let go of his invention, Stark, with Pepper Potts and James 'Rhodey' Rhodes at his side, must forge new alliances – and confront powerful enemies.",19.083344,2010-04-28,623933331.0,124.0,Released,"It's not the armor that makes the hero, but the man inside.",Iron Man 2,6.6,6969,"Adventure,Action,Science Fiction","English,Pусский,Français",United States of America,Iron Man Collection,Marvel Studios,2010,3.12
280000000.0,99861,en,"When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.",37.37942,2015-04-22,1405403694.0,141.0,Released,A New Age Has Come.,Avengers: Age of Ultron,7.3,6908,"Action,Adventure,Science Fiction",English,United States of America,The Avengers Collection,"Marvel Studios,Prime Focus,Revolution Sun Studios",2015,5.02
11000000.0,11,en,Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire.,42.149697,1977-05-25,775398007.0,121.0,Released,"A long time ago in a galaxy far, far away...",Star Wars,8.1,6778,"Adventure,Action,Science Fiction",English,United States of America,Star Wars Collection,"Lucasfilm,Twentieth Century Fox Film Corporation",1977,70.49
100000000.0,106646,en,"A New York stockbroker refuses to cooperate in a large securities fraud case involving corruption on Wall Street, corporate banking world and mob infiltration. Based on Jordan Belfort's autobiography.",16.382422,2013-12-25,392000694.0,180.0,Released,EARN. SPEND. PARTY.,The Wolf of Wall Street,7.9,6768,"Crime,Drama,Comedy","Français,English",United States of America,,"Paramount Pictures,Appian Way,EMJAG Productions,Red Granite Pictures,Sikelia Productions",2013,3.92
175000000.0,150540,en,"Growing up can be a bumpy road, and it's no exception for Riley, who is uprooted from her Midwest life when her father starts a new job in San Francisco. Like all of us, Riley is guided by her emotions - Joy, Fear, Anger, Disgust and Sadness. The emotions live in Headquarters, the control center inside Riley's mind, where they help advise her through everyday life. As Riley and her emotions struggle to adjust to a new life in San Francisco, turmoil ensues in Headquarters. Although Joy, Riley's main and most important emotion, tries to keep things positive, the emotions conflict on how best to navigate a new city, house and school.",23.985587,2015-06-09,857611174.0,94.0,Released,Meet the little voices inside your head.,Inside Out,7.9,6737,"Drama,Comedy,Animation,Family",English,United States of America,,"Walt Disney Pictures,Pixar Animation Studios",2015,4.9
215000000.0,1930,en,"Peter Parker is an outcast high schooler abandoned by his parents as a boy, leaving him to be raised by his Uncle Ben and Aunt May. Like most teenagers, Peter is trying to figure out who he is and how he got to be the person he is today. As Peter discovers a mysterious briefcase that belonged to his father, he begins a quest to understand his parents' disappearance – leading him directly to Oscorp and the lab of Dr. Curt Connors, his father's former partner. As Spider-Man is set on a collision course with Connors' alter ego, The Lizard, Peter will make life-altering choices to use his powers and shape his destiny to become a hero.",31.102267,2012-06-27,752215857.0,136.0,Released,The untold story begins.,The Amazing Spider-Man,6.5,6734,"Action,Adventure,Fantasy",English,United States of America,The Amazing Spider-Man Collection,"Columbia Pictures,Laura Ziskin Productions,Marvel Entertainment",2012,3.5
150000000.0,10195,en,"Against his father Odin's will, The Mighty Thor - a powerful but arrogant warrior god - recklessly reignites an ancient war. Thor is cast down to Earth and forced to live among humans as punishment. Once here, Thor learns what it takes to be a true hero when the most dangerous villain of his world sends the darkest forces of Asgard to invade Earth.",29.158489,2011-04-21,449326618.0,115.0,Released,Two worlds. One hero.,Thor,6.6,6678,"Adventure,Fantasy,Action",English,United States of America,Thor Collection,Marvel Studios,2011,3.0
130000000.0,101299,en,"Katniss Everdeen has returned home safe after winning the 74th Annual Hunger Games along with fellow tribute Peeta Mellark. Winning means that they must turn around and leave their family and close friends, embarking on a ""Victor's Tour"" of the districts. Along the way Katniss senses that a rebellion is simmering, but the Capitol is still very much in control as President Snow prepares the 75th Annual Hunger Games (The Quarter Quell) - a competition that could change Panem forever.",25.309139,2013-11-15,847423452.0,146.0,Released,Every revolution begins with a spark.,The Hunger Games: Catching Fire,7.4,6656,"Adventure,Action,Science Fiction",English,United States of America,The Hunger Games Collection,"Lionsgate,Color Force",2013,6.52
70000000.0,16869,en,"In Nazi-occupied France during World War II, a group of Jewish-American soldiers known as ""The Basterds"" are chosen specifically to spread fear throughout the Third Reich by scalping and brutally killing Nazis. The Basterds, lead by Lt. Aldo Raine soon cross paths with a French-Jewish teenage girl who runs a movie theater in Paris which is targeted by the soldiers.",16.89564,2009-08-18,319131050.0,153.0,Released,Once upon a time in Nazi occupied France...,Inglourious Basterds,7.9,6598,"Drama,Action,Thriller,War","Deutsch,English,Français,Italiano","Germany,United States of America",,"Universal Pictures,A Band Apart,The Weinstein Company,Zehnte Babelsberg,Visiona Romantica",2009,4.56
69000000.0,20352,en,"Villainous Gru lives up to his reputation as a despicable, deplorable and downright unlikable guy when he hatches a plan to steal the moon from the sky. But he has a tough time staying on task after three orphans land in his care.",22.274502,2010-07-08,543513985.0,95.0,Released,Superbad. Superdad.,Despicable Me,7.1,6595,"Animation,Family",English,United States of America,Despicable Me Collection,"Universal Pictures,Illumination Entertainment",2010,7.88
80000000.0,11324,en,"World War II soldier-turned-U.S. Marshal Teddy Daniels investigates the disappearance of a patient from a hospital for the criminally insane, but his efforts are compromised by his troubling visions and also by a mysterious doctor.",15.813629,2010-02-18,294804195.0,138.0,Released,Someone is missing.,Shutter Island,7.8,6559,"Drama,Thriller,Mystery","English,Deutsch",United States of America,,"Paramount Pictures,Appian Way,Phoenix Pictures,Sikelia Productions",2010,3.69
135000000.0,281957,en,"In the 1820s, a frontiersman, Hugh Glass, sets out on a path of vengeance against those who left him for dead after a bear mauling.",23.501228,2015-12-25,532950503.0,156.0,Released,"(n. One who has returned, as if from the dead.)",The Revenant,7.3,6558,"Western,Drama,Adventure,Thriller","English,Français","Canada,Hong Kong,Taiwan,United States of America",,"Regency Enterprises,Appian Way,CatchPlay,Anonymous Content,New Regency Pictures,Hong Kong Alpha Motion Pictures Co.,RatPac Entertainment,M Productions,Monarchy Enterprises S.a.r.l.",2015,3.95
225000000.0,49521,en,"A young boy learns that he has extraordinary powers and is not of this earth. As a young man, he journeys to discover where he came from and what he was sent here to do. But the hero in him must emerge if he is to save the world from annihilation and become the symbol of hope for all mankind.",18.538834,2013-06-12,662845518.0,143.0,Released,You will believe that a man can fly.,Man of Steel,6.5,6462,"Action,Adventure,Fantasy,Science Fiction",English,"United Kingdom,United States of America",Man of Steel Collection,"Legendary Pictures,Warner Bros.,DC Entertainment,Syncopy,Cruel and Unusual Films",2013,2.95
180000000.0,10681,en,"WALL·E is the last robot left on an Earth that has been overrun with garbage and all humans have fled to outer space. For 700 years he has continued to try and clean up the mess, but has developed some rather interesting human-like qualities. When a ship arrives with a sleek new type of robot, WALL·E thinks he's finally found a friend and stows away on the ship when it leaves.",16.088366,2008-06-22,521311860.0,98.0,Released,An adventure beyond the ordinar-E.,WALL·E,7.8,6439,"Animation,Family",English,United States of America,,"Walt Disney Pictures,Pixar Animation Studios,FortyFour Studios",2008,2.9
35000000.0,18785,en,"When three friends finally come to after a raucous night of bachelor-party revelry, they find a baby in the closet and a tiger in the bathroom. But they can't seem to locate their best friend, Doug – who's supposed to be tying the knot. Launching a frantic search for Doug, the trio perseveres through a nasty hangover to try to make it to the church on time.",23.947351,2009-06-05,459270619.0,100.0,Released,Some guys just can't handle Vegas.,The Hangover,7.2,6324,Comedy,English,"Germany,United States of America",The Hangover Collection,"Legendary Pictures,Green Hat Films,Warner Bros.,IFP Westcoast Erste",2009,13.12
97000000.0,263115,en,"In the near future, a weary Logan cares for an ailing Professor X in a hideout on the Mexican border. But Logan's attempts to hide from the world and his legacy are upended when a young mutant arrives, pursued by dark forces.",54.581997,2017-02-28,616801808.0,137.0,Released,His time has come,Logan,7.6,6310,"Action,Drama,Science Fiction","English,Español",United States of America,The Wolverine Collection,"Twentieth Century Fox Film Corporation,Donners' Company,Marvel Entertainment,TSG Entertainment",2017,6.36
94000000.0,12,en,"Nemo, an adventurous young clownfish, is unexpectedly taken from his Great Barrier Reef home to a dentist's office aquarium. It's up to his worrisome father Marlin and a friendly but forgetful fish Dory to bring Nemo home -- meeting vegetarian sharks, surfer dude turtles, hypnotic jellyfish, hungry seagulls, and more along the way.",25.497794,2003-05-30,940335536.0,100.0,Released,There are 3.7 trillion fish in the ocean. They're looking for one.,Finding Nemo,7.6,6292,"Animation,Family",English,United States of America,Finding Nemo Collection,Pixar Animation Studios,2003,10.0
165000000.0,177572,en,"The special bond that develops between plus-sized inflatable robot Baymax, and prodigy Hiro Hamada, who team up with a group of friends to form a band of high-tech heroes.",213.849907,2014-10-24,652105443.0,102.0,Released,From the creators of Wreck-it Ralph and Frozen,Big Hero 6,7.8,6289,"Adventure,Family,Animation,Action,Comedy",English,United States of America,,"Walt Disney Pictures,Walt Disney Animation Studios",2014,3.95
19000000.0,105,en,"Eighties teenager Marty McFly is accidentally sent back in time to 1955, inadvertently disrupting his parents' first meeting and attracting his mother's romantic interest. Marty must repair the damage to history by rekindling his parents' romance and - with the help of his eccentric inventor friend Doc Brown - return to 1985.",25.778509,1985-07-03,381109762.0,116.0,Released,He's the only kid ever to get into trouble before he was born.,Back to the Future,8.0,6239,"Adventure,Comedy,Science Fiction,Family",English,United States of America,Back to the Future Collection,"Universal Pictures,Amblin Entertainment,U-Drive Productions",1985,20.06
